,timestamp,message
0,1710090000000.0,"2024-03-10T16:34:49 [AT_GLOBAL       ]I:  Task Server Log - UUHIPCATGXZLVQEJY7625DTA5TRQHBS5WTP2BHA  (V3.5.1.R1164 ip-10-7-0-93 Linux 4.14.336-256.559.amzn2.x86_64 #1 SMP Tue Feb 13 09:50:28 UTC 2024 x86_64 64-bit, PID: 2065191) started at Sun Mar 10 16:34:49 2024  (at_logger.c:3250)"
1,1710090000000.0,2024-03-10T16:34:49 [DATA_STRUCTURE  ]I:  SQLite version is 3.31.1  (at_sqlite.c:174)
2,1710090000000.0,2024-03-10T16:34:49 [TARGET_APPLY    ]I:  Lob lookup mutex created successfully  (bulk_apply.c:862)
3,1710090000000.0,2024-03-10T16:34:49 [VALIDATOR       ]I:  ==> Success Creating Table Def Mutex  (validation_util.c:94)
4,1710090000000.0,2024-03-10T16:34:49 [VALIDATOR       ]I:  Creating Table Def Mutex  (validation_util.c:86)
5,1710090000000.0,2024-03-10T16:34:49 [VALIDATOR       ]I:  validation_util_class_initialize  (validation_util.c:82)
6,1710090000000.0,"2024-03-10T16:34:50 [METADATA_MANAGE ]I:  Going to connect to ODBC connection string: DRIVER={ODBC Driver 17 for SQL Server};SERVER=SJDTOOLS.rfisecurity.com,55409;DATABASE=SystemIntegrator;Trusted_Connection=no;;  (sqlserver_endpoint_util.c:242)"
7,1710090000000.0,2024-03-10T16:34:50 [METADATA_MANAGE ]I:  Source endpoint 'SQL Server' is using provider syntax 'SQLServer'  (provider_syntax_manager.c:894)
8,1710090000000.0,"2024-03-10T16:34:50 [TASK_MANAGER    ]I:  BatchApplyPreserveTransaction is set to false, because BatchApplyEnabled is false  (replicationtask.c:1379)"
9,1710090000000.0,2024-03-10T16:34:50 [TASK_MANAGER    ]I:  Execute Request Task 'UUHIPCATGXZLVQEJY7625DTA5TRQHBS5WTP2BHA' running full load only with flags fresh start with cdcPosition null and stop_at null  (replicationtask.c:972)
10,1710090000000.0,2024-03-10T16:34:50 [TASK_MANAGER    ]I:  LOB support on the task has been enabled  (endpointshell.c:1905)
11,1710090000000.0,2024-03-10T16:34:50 [TASK_MANAGER    ]I:  Task Id: 23ff1388-17cd-4f4e-a815-da64afe874f7  (replicationtask.c:3863)
12,1710090000000.0,2024-03-10T16:34:50 [TASK_MANAGER    ]I:  Task is running in Limited LOB Mode. MaxLobSize is set to '32768' Bytes  (endpointshell.c:1908)
13,1710090000000.0,2024-03-10T16:34:50 [TASK_MANAGER    ]I:  Task 'UUHIPCATGXZLVQEJY7625DTA5TRQHBS5WTP2BHA' starting full load only in fresh start mode  (replicationtask.c:1592)
14,1710090000000.0,2024-03-10T16:34:52 [METADATA_MANAGE ]I:  Database is SQL Server  (sqlserver_log_queries.c:8248)
15,1710090000000.0,2024-03-10T16:34:52 [METADATA_MANAGE ]I:  Internal property forceDataRowLookup: false  (sqlserver_endpoint_imp.c:2384)
16,1710090000000.0,2024-03-10T16:34:52 [METADATA_MANAGE ]I:  Internal property forceloblookup: false  (sqlserver_endpoint_imp.c:2380)
17,1710090000000.0,2024-03-10T16:34:52 [METADATA_MANAGE ]I:  Internal property lobLookupNodataPollingSec: 1  (sqlserver_endpoint_imp.c:2382)
18,1710090000000.0,2024-03-10T16:34:52 [METADATA_MANAGE ]I:  Internal property lobLookupNoDataRetry: 0  (sqlserver_endpoint_imp.c:2381)
19,1710090000000.0,2024-03-10T16:34:52 [METADATA_MANAGE ]I:  Internal property rowLookupNoDataPollingSec: 1  (sqlserver_endpoint_imp.c:2386)
20,1710090000000.0,2024-03-10T16:34:52 [METADATA_MANAGE ]I:  Internal property rowLookupNoDataRetry: 0  (sqlserver_endpoint_imp.c:2385)
21,1710090000000.0,2024-03-10T16:34:52 [METADATA_MANAGE ]I:  Sampled server version: 2017  (sqlserver_endpoint_imp.c:2366)
22,1710090000000.0,2024-03-10T16:34:52 [METADATA_MANAGE ]I:  SQL server version: Microsoft SQL Server 2017 (RTM-GDR) (KB5021127) - 14.0.2047.8 (X64)  	Jan 25 2023 08:29:55  	Copyright (C) 2017 Microsoft Corporation 	Express Edition (64-bit) on Windows Server 2019 Standard 10.0 <X64> (Build 17763: ) (Hypervisor)  (sqlserver_log_queries.c:8231)
23,1710090000000.0,2024-03-10T16:34:53 [METADATA_MANAGE ]I:  Bulk is set to ignore max row size warnings  (sqlserver_endpoint_imp.c:1656)
24,1710090000000.0,"2024-03-10T16:34:53 [METADATA_MANAGE ]I:  Going to connect to SQL Server Target : DRIVER={ODBC Driver 17 for SQL Server};SERVER=sqlwarehouse.c8ay9hz9yore.us-east-1.rds.amazonaws.com,1433;DATABASE=RFI_SystemIntegrator;UID=admin;  (ar_odbc_conn.c:346)"
25,1710090000000.0,"2024-03-10T16:34:53 [METADATA_MANAGE ]I:  Going to connect to SQL Server Target : DRIVER={ODBC Driver 17 for SQL Server};SERVER=sqlwarehouse.c8ay9hz9yore.us-east-1.rds.amazonaws.com,1433;DATABASE=RFI_SystemIntegrator;UID=admin;  (ar_odbc_conn.c:346)"
26,1710090000000.0,2024-03-10T16:34:53 [METADATA_MANAGE ]I:  Loaded SQLServer Driver: 'ODBC Driver 17 for SQL Server'  (sqlserver_endpoint_imp.c:472)
27,1710090000000.0,2024-03-10T16:34:53 [METADATA_MANAGE ]I:  NLS configuration sampled: Associated code page=1252  (sqlserver_endpoint_imp.c:2420)
28,1710090000000.0,2024-03-10T16:34:53 [METADATA_MANAGE ]I:  Target endpoint 'SQL Server' is using provider syntax 'SQLServer'  (provider_syntax_manager.c:900)
29,1710090000000.0,2024-03-10T16:34:53 [METADATA_MANAGE ]I:  Target endpoint 'SQL Server' is using provider syntax 'SQLServer'  (provider_syntax_manager.c:900)
30,1710090000000.0,2024-03-10T16:34:53 [METADATA_MANAGE ]I:  Working with BCPKeepNull set to TRUE  (sqlserver_endpoint_imp.c:1717)
31,1710090000000.0,2024-03-10T16:34:53 [METADATA_MANAGE ]I:  Working with collated columns  (sqlserver_endpoint_imp.c:1713)
32,1710090000000.0,2024-03-10T16:34:53 [TABLES_MANAGER  ]I:  Calling for get capture table list from the Metadata Manager started.  (tasktablesmanager.c:960)
33,1710090000000.0,2024-03-10T16:34:53 [TASK_MANAGER    ]I:  Creating threads for all components  (replicationtask.c:2270)
34,1710090000000.0,2024-03-10T16:34:53 [TASK_MANAGER    ]I:  Preparing all components  (replicationtask.c:2237)
35,1710090000000.0,"2024-03-10T16:34:53 [TASK_MANAGER    ]I:  Task - UUHIPCATGXZLVQEJY7625DTA5TRQHBS5WTP2BHA is in STARTING state, updating starting status to AR_CREATING_TABLES_LIST  (repository.c:5491)"
36,1710090000000.0,"2024-03-10T16:34:53 [TASK_MANAGER    ]I:  Task - UUHIPCATGXZLVQEJY7625DTA5TRQHBS5WTP2BHA is in STARTING state, updating starting status to AR_CREATING_TREADS  (repository.c:5491)"
37,1710090000000.0,"2024-03-10T16:34:53 [TASK_MANAGER    ]I:  Task - UUHIPCATGXZLVQEJY7625DTA5TRQHBS5WTP2BHA is in STARTING state, updating starting status to AR_PREPARING_COMPONENTS  (repository.c:5491)"
38,1710090000000.0,"2024-03-10T16:35:14 [SOURCE_UNLOAD   ]I:  Going to connect to ODBC connection string: DRIVER={ODBC Driver 17 for SQL Server};SERVER=SJDTOOLS.rfisecurity.com,55409;DATABASE=SystemIntegrator;Trusted_Connection=no;;  (sqlserver_endpoint_util.c:242)"
39,1710090000000.0,2024-03-10T16:35:14 [SOURCE_UNLOAD   ]I:  Source endpoint 'SQL Server' is using provider syntax 'SQLServer'  (provider_syntax_manager.c:894)
40,1710090000000.0,2024-03-10T16:35:14 [TABLES_MANAGER  ]I:  Calling for get capture table list from the Metadata Manager ended.  (tasktablesmanager.c:967)
41,1710090000000.0,2024-03-10T16:35:14 [TASK_MANAGER    ]I:  All stream components were initialized  (replicationtask.c:3603)
42,1710090000000.0,2024-03-10T16:35:14 [TASK_MANAGER    ]I:  Starting subtask #1  (replicationtask_util.c:521)
43,1710090000000.0,2024-03-10T16:35:14 [TASK_MANAGER    ]I:  Starting the validation process...  (replicationtask.c:3680)
44,1710090000000.0,"2024-03-10T16:35:14 [TASK_MANAGER    ]I:  Task - UUHIPCATGXZLVQEJY7625DTA5TRQHBS5WTP2BHA is in RUNNING state, updating starting status to AR_RUNNING  (repository.c:5491)"
45,1710090000000.0,2024-03-10T16:35:14 [TASK_MANAGER    ]I:  Task initialization completed successfully  (replicationtask.c:3920)
46,1710090000000.0,2024-03-10T16:35:14 [TASK_MANAGER    ]I:  Threads for all components were created  (replicationtask.c:2457)
47,1710090000000.0,"2024-03-10T16:35:17 [SOURCE_CAPTURE  ]I:  Going to connect to ODBC connection string: DRIVER={ODBC Driver 17 for SQL Server};SERVER=SJDTOOLS.rfisecurity.com,55409;DATABASE=SystemIntegrator;Trusted_Connection=no;;  (sqlserver_endpoint_util.c:242)"
48,1710090000000.0,2024-03-10T16:35:17 [SOURCE_CAPTURE  ]I:  Source endpoint 'SQL Server' is using provider syntax 'SQLServer'  (provider_syntax_manager.c:894)
49,1710090000000.0,2024-03-10T16:35:17 [SOURCE_UNLOAD   ]I:  NLS configuration sampled: Associated code page=1252  (sqlserver_endpoint_imp.c:2420)
50,1710090000000.0,2024-03-10T16:35:17 [TARGET_LOAD     ]I:  Bulk is set to ignore max row size warnings  (sqlserver_endpoint_imp.c:1656)
51,1710090000000.0,"2024-03-10T16:35:17 [TARGET_LOAD     ]I:  Going to connect to SQL Server Target : DRIVER={ODBC Driver 17 for SQL Server};SERVER=sqlwarehouse.c8ay9hz9yore.us-east-1.rds.amazonaws.com,1433;DATABASE=RFI_SystemIntegrator;UID=admin;  (ar_odbc_conn.c:346)"
52,1710090000000.0,"2024-03-10T16:35:17 [TARGET_LOAD     ]I:  Going to connect to SQL Server Target : DRIVER={ODBC Driver 17 for SQL Server};SERVER=sqlwarehouse.c8ay9hz9yore.us-east-1.rds.amazonaws.com,1433;DATABASE=RFI_SystemIntegrator;UID=admin;  (ar_odbc_conn.c:346)"
53,1710090000000.0,2024-03-10T16:35:17 [TARGET_LOAD     ]I:  Loaded SQLServer Driver: 'ODBC Driver 17 for SQL Server'  (sqlserver_endpoint_imp.c:472)
54,1710090000000.0,2024-03-10T16:35:17 [TARGET_LOAD     ]I:  Target endpoint 'SQL Server' is using provider syntax 'SQLServer'  (provider_syntax_manager.c:900)
55,1710090000000.0,2024-03-10T16:35:17 [TARGET_LOAD     ]I:  Target endpoint 'SQL Server' is using provider syntax 'SQLServer'  (provider_syntax_manager.c:900)
56,1710090000000.0,2024-03-10T16:35:17 [TARGET_LOAD     ]I:  Working with BCPKeepNull set to TRUE  (sqlserver_endpoint_imp.c:1717)
57,1710090000000.0,2024-03-10T16:35:17 [TARGET_LOAD     ]I:  Working with collated columns  (sqlserver_endpoint_imp.c:1713)
58,1710090000000.0,2024-03-10T16:35:20 [SOURCE_CAPTURE  ]I:  NLS configuration sampled: Associated code page=1252  (sqlserver_endpoint_imp.c:2420)
59,1710090000000.0,"2024-03-10T16:35:20 [SOURCE_UNLOAD   ]I:  Going to connect to ODBC connection string: DRIVER={ODBC Driver 17 for SQL Server};SERVER=SJDTOOLS.rfisecurity.com,55409;DATABASE=SystemIntegrator;Trusted_Connection=no;;  (sqlserver_endpoint_util.c:242)"
60,1710090000000.0,2024-03-10T16:35:20 [SOURCE_UNLOAD   ]I:  Source endpoint 'SQL Server' is using provider syntax 'SQLServer'  (provider_syntax_manager.c:894)
61,1710090000000.0,"2024-03-10T16:35:20 [TABLES_MANAGER  ]I:  Next table to load 'dbo'.'AddressTypes' ID = 1, order = 0  (tasktablesmanager.c:1900)"
62,1710090000000.0,"2024-03-10T16:35:20 [TARGET_LOAD     ]I:  No records received to load or apply on target , waiting for data from upstream. The last context is  {connectionId:232, statement:SELECT HAS_PERMS_BY_NAME('[' + db_name() + ']', 'DATABASE', 'CREATE TABLE');}  (streamcomponent.c:1987)"
63,1710090000000.0,2024-03-10T16:35:20 [TASK_MANAGER    ]I:  Start loading table 'dbo'.'AddressTypes' (Id = 1) by subtask 1. Start load timestamp 0006135102C7E310  (replicationtask_util.c:755)
64,1710090000000.0,2024-03-10T16:35:20 [TASK_MANAGER    ]I:  Starting component st_1_NBN5JTL6FRMN7FRXABIDZSZGKIT464EELMA2CNY  (subtask.c:1426)
65,1710090000000.0,2024-03-10T16:35:20 [TASK_MANAGER    ]I:  Starting component st_1_PLOUOFWRJ4MNXCDHNXA6DZLZ4VIRPDCCOV5NGWI  (subtask.c:1426)
66,1710090000000.0,2024-03-10T16:35:20 [TASK_MANAGER    ]I:  Starting subtask #2  (replicationtask_util.c:521)
